X;Result of cos(X)
-3.1415926536;-1.0000000007
-3.0415926536;-0.9950041655
-2.9415926536;-0.9800665682
-2.8415926536;-0.9553364855
-2.7415926536;-0.9210609928
-2.6415926536;-0.8775825615
-2.5415926536;-0.8253356148
-2.4415926536;-0.7648421927
-2.3415926536;-0.6967067108
-2.2415926536;-0.6216099686
-2.1415926536;-0.5403023059
-2.0415926536;-0.4535961214
-1.9415926536;-0.3623577541
-1.8415926536;-0.2674988286
-1.7415926536;-0.1699671429
-1.6415926536;-0.0707372017
-1.5415926536;0.0291995223
-1.4415926536;0.1288444944
-1.3415926536;0.2272020947
-1.2415926536;0.3232895667
-1.1415926536;0.4161468352
-1.0415926536;0.5048461046
-0.9415926536;0.5885011174
-0.8415926536;0.6662760221
-0.7415926536;0.7373937187
-0.6415926536;0.8011436155
-0.5415926536;0.8568887531
-0.4415926536;0.9040721412
-0.3415926536;0.9422223383
-0.2415926536;0.9709581587
-0.1415926536;0.9899924968
-0.0415926536;0.9991351507
0.0584073464;0.9982947769
0.1584073464;0.9874797727
0.2584073464;0.9667981991
0.3584073464;0.9364567017
0.4584073464;0.8967584159
0.5584073464;0.8481000307
0.6584073464;0.7909677096
0.7584073464;0.7259322994
0.8584073464;0.6536436110
0.9584073464;0.5748239270
1.0584073464;0.4902608221
1.1584073464;0.4007991736
1.2584073464;0.3073328731
1.3584073464;0.2107958054
1.4584073464;0.1121525382
1.5584073464;0.0123886843
1.6584073464;-0.0874989966
1.7584073464;-0.1865123764
1.8584073464;-0.2836621891
1.9584073464;-0.3779777446
2.0584073464;-0.4685166722
2.1584073464;-0.5543743131
2.2584073464;-0.6346928642
2.3584073464;-0.7086697685
2.4584073464;-0.7755658757
2.5584073464;-0.8347127836
2.6584073464;-0.8855195164
2.7584073464;-0.9274784482
2.8584073464;-0.9601702946
2.9584073464;-0.9832684419
3.0584073464;-0.9965420985
