X;Result of ln(X)
0.1000000000;-2.3025850124
0.2000000000;-1.6094378446
0.3000000000;-1.2039727265
0.4000000000;-0.9162906537
0.5000000000;-0.6931470738
0.6000000000;-0.5108255780
0.7000000000;-0.3566749061
0.8000000000;-0.2231434910
0.9000000000;-0.1053603538
1.0000000000;-0.0000000000
1.1000000000;0.0953100817
1.2000000000;0.1823215420
1.3000000000;0.2623640785
1.4000000000;0.3364722141
1.5000000000;0.4054649905
1.6000000000;0.4700036104
1.7000000000;0.5306281825
1.8000000000;0.5877866509
1.9000000000;0.6418538446
2.0000000000;0.6931470738
2.1000000000;0.7419373180
2.2000000000;0.7884572983
2.3000000000;0.8329089910
2.4000000000;0.8754686983
2.5000000000;0.9162906537
2.6000000000;0.9555114189
2.7000000000;0.9932517232
2.8000000000;1.0296193269
2.9000000000;1.0647107034
3.0000000000;1.0986122298
3.1000000000;1.1314020124
3.2000000000;1.1631507694
3.3000000000;1.1939224021
3.4000000000;1.2237753259
3.5000000000;1.2527629220
3.6000000000;1.2809337728
3.7000000000;1.3083327091
3.8000000000;1.3350010148
3.9000000000;1.3609764753
4.0000000000;1.3862943228
4.1000000000;1.4109869171
4.2000000000;1.4350844432
4.3000000000;1.4586149802
4.4000000000;1.4816044801
4.5000000000;1.5040773111
4.6000000000;1.5260562572
4.7000000000;1.5475624442
4.8000000000;1.5686158292
4.9000000000;1.5892351554
5.0000000000;1.6094378446
5.1000000000;1.6292404484
5.2000000000;1.6486585727
5.3000000000;1.6677067498
5.4000000000;1.6863988600
5.5000000000;1.7047480364
5.6000000000;1.7227665244
5.7000000000;1.7404660794
5.8000000000;1.7578578591
5.9000000000;1.7749522752
6.0000000000;1.7917594219
6.1000000000;1.8082887103
6.2000000000;1.8245492143
6.3000000000;1.8405495837
6.4000000000;1.8562979272
6.5000000000;1.8718020972
6.6000000000;1.8870695971
6.7000000000;1.9021074611
6.8000000000;1.9169225308
6.9000000000;1.9315213575
7.0000000000;1.9459100819
7.1000000000;1.9600947011
7.2000000000;1.9740809700
7.3000000000;1.9878742792
7.4000000000;2.0014799158
7.5000000000;2.0149029626
7.6000000000;2.0281481766
7.7000000000;2.0412202431
7.8000000000;2.0541236740
7.9000000000;2.0668626873
8.0000000000;2.0794414547
8.1000000000;2.0918640003
8.2000000000;2.1041340806
8.3000000000;2.1162554623
8.4000000000;2.1282316430
8.5000000000;2.1400660885
8.6000000000;2.1517621492
8.7000000000;2.1633229613
8.8000000000;2.1747516452
8.9000000000;2.1860512211
9.0000000000;2.1972245116
9.1000000000;2.2082743361
9.2000000000;2.2192034270
9.3000000000;2.2300143331
9.4000000000;2.2407096107
9.5000000000;2.2512917402
9.6000000000;2.2617630301
9.7000000000;2.2721258059
9.8000000000;2.2823823259
9.9000000000;2.2925346876
10.0000000000;2.3025850124
