X;Result of log3(X)
0.1000000000;-2.0959033132
0.2000000000;-1.4649735375
0.3000000000;-1.0959032622
0.4000000000;-0.8340437407
0.5000000000;-0.6309296902
0.6000000000;-0.4649735040
0.7000000000;-0.3246595081
0.8000000000;-0.2031139696
0.9000000000;-0.0959031321
1.0000000000;-0.0000000000
1.1000000000;0.0867549797
1.2000000000;0.1659562283
1.3000000000;0.2388140887
1.4000000000;0.3062702243
1.5000000000;0.3690701591
1.6000000000;0.4278157458
1.7000000000;0.4829986123
1.8000000000;0.5350264952
1.9000000000;0.5842405784
2.0000000000;0.6309296902
2.1000000000;0.6753404868
2.2000000000;0.7176847999
2.3000000000;0.7581464764
2.4000000000;0.7968859936
2.5000000000;0.8340437407
2.6000000000;0.8697440216
2.7000000000;0.9040967288
2.8000000000;0.9371999501
2.9000000000;0.9691414992
3.0000000000;1.0000000000
3.1000000000;1.0298465479
3.2000000000;1.0587455135
3.3000000000;1.0867550621
3.4000000000;1.1139283659
3.5000000000;1.1403140143
3.6000000000;1.1659562292
3.7000000000;1.1908958171
3.8000000000;1.2151703564
3.9000000000;1.2388142408
4.0000000000;1.2618595399
4.1000000000;1.2843357090
4.2000000000;1.3062702237
4.3000000000;1.3276886427
4.4000000000;1.3486145884
4.5000000000;1.3690702418
4.6000000000;1.3890763418
4.7000000000;1.4086521179
4.8000000000;1.4278157357
4.9000000000;1.4465842563
5.0000000000;1.4649735375
5.1000000000;1.4829986452
5.2000000000;1.5006737846
5.3000000000;1.5180121836
5.4000000000;1.5350264764
5.5000000000;1.5517286174
5.6000000000;1.5681297529
5.7000000000;1.5842405830
5.8000000000;1.6000712639
5.9000000000;1.6156312729
6.0000000000;1.6309297979
6.1000000000;1.6459754054
6.2000000000;1.6607763548
6.3000000000;1.6753405194
6.4000000000;1.6896752802
6.5000000000;1.7037877847
6.6000000000;1.7176848627
6.7000000000;1.7313729172
6.8000000000;1.7448581754
6.9000000000;1.7581466009
7.0000000000;1.7712437829
7.1000000000;1.7841551804
7.2000000000;1.7968860317
7.3000000000;1.8094412435
7.4000000000;1.8218256283
7.5000000000;1.8340438127
7.6000000000;1.8461001267
7.7000000000;1.8579988351
7.8000000000;1.8697440446
7.9000000000;1.8813395948
8.0000000000;1.8927892830
8.1000000000;1.9040967719
8.2000000000;1.9152654809
8.3000000000;1.9262988386
8.4000000000;1.9372000286
8.5000000000;1.9479722057
8.6000000000;1.9586184195
8.7000000000;1.9691415248
8.8000000000;1.9795443617
8.9000000000;1.9898296795
9.0000000000;2.0000000473
9.1000000000;2.0100580316
9.2000000000;2.0200061194
9.3000000000;2.0298466307
9.4000000000;2.0395818924
9.5000000000;2.0492141623
9.6000000000;2.0587455417
9.7000000000;2.0681781472
9.8000000000;2.0775140346
9.9000000000;2.0867551129
10.0000000000;2.0959033132
