X;Result of sec(X)
-1.4707963268;10.0166861296
-1.3707963268;5.0334895477
-1.2707963268;3.3838633624
-1.1707963268;2.5679324603
-1.0707963268;2.0858296429
-0.9707963268;1.7710321964
-0.8707963268;1.5522703258
-0.7707963268;1.3940078152
-0.6707963268;1.2766062135
-0.5707963268;1.1883951060
-0.4707963268;1.1220733192
-0.3707963268;1.0729163797
-0.2707963268;1.0378200509
-0.1707963268;1.0147651062
-0.0707963268;1.0025113039
0.0292036732;1.0004265780
0.1292036732;1.0084052467
0.2292036732;1.0268546773
0.3292036732;1.0567472210
0.4292036732;1.0997501707
0.5292036732;1.1584675046
0.6292036732;1.2368638841
0.7292036732;1.3410124925
0.8292036732;1.4804656134
0.9292036732;1.6709215904
1.0292036732;1.9398590449
1.1292036732;2.3398387320
1.2292036732;2.9851801981
1.3292036732;4.1797399505
1.4292036732;7.0861669261
