X;Result
-5.0000000000;-0.0121507315
-4.9000000000;-0.0033312619
-4.8000000000;-0.0003368849
-4.7000000000;0.0000009508
-4.6000000000;0.0007120621
-4.5000000000;0.0048454323
-4.4000000000;0.0156307672
-4.3000000000;0.0366752594
-4.2000000000;0.0722385475
-4.1000000000;0.1276568345
-4.0000000000;0.2100475343
-3.9000000000;0.3295606137
-3.8000000000;0.5017633965
-3.7000000000;0.7525835851
-3.6000000000;1.1297206478
-3.5000000000;1.7331598072
-3.4000000000;2.8165390987
-3.3000000000;5.2724674508
-3.2000000000;16.1033610192
-3.1000000000;-25.0279666746
-3.0000000000;-8.0052445844
-2.9000000000;-5.0293107649
-2.8000000000;-3.7549258050
-2.7000000000;-3.0194551538
-2.6000000000;-2.5191321514
-2.5000000000;-2.1397917796
-2.4000000000;-1.8290797628
-2.3000000000;-1.5597604911
-2.2000000000;-1.3163968953
-2.1000000000;-1.0896939117
-2.0000000000;-0.8738043882
-1.9000000000;-0.6649249180
-1.8000000000;-0.4605056283
-1.7000000000;-0.2587719586
-1.6000000000;-0.0584115005
-1.5000000000;0.1416520460
-1.4000000000;0.3424438687
-1.3000000000;0.5451144765
-1.2000000000;0.7511373238
-1.1000000000;0.9625642270
-1.0000000000;1.1823949220
-0.9000000000;1.4151611169
-0.8000000000;1.6679213105
-0.7000000000;1.9520840324
-0.6000000000;2.2870315615
-0.5000000000;2.7080702824
-0.4000000000;3.2862834140
-0.3000000000;4.1880646177
-0.2000000000;5.9132213955
-0.1000000000;10.9616485893
-0.0000000000;NaN
0.1000000000;5.6245131879
0.2000000000;3.2323960030
0.3000000000;2.1121951948
0.4000000000;1.4423388094
0.5000000000;0.9941771762
0.6000000000;0.6743205193
0.7000000000;0.4363833370
0.8000000000;0.2543416072
0.9000000000;0.1123157958
1.0000000000;NaN
1.1000000000;-0.0896185397
1.2000000000;-0.1614941648
1.3000000000;-0.2192353812
1.4000000000;-0.2655377679
1.5000000000;-0.3024583249
1.6000000000;-0.3315956037
1.7000000000;-0.3542115945
1.8000000000;-0.3713163702
1.9000000000;-0.3837282138
2.0000000000;-0.3921171849
2.1000000000;-0.3970372504
2.2000000000;-0.3989503543
2.3000000000;-0.3982447066
2.4000000000;-0.3952488576
2.5000000000;-0.3902426543
2.6000000000;-0.3834658615
2.7000000000;-0.3751250092
2.8000000000;-0.3653988814
2.9000000000;-0.3544429512
3.0000000000;-0.3423929916
3.1000000000;-0.3293680363
3.2000000000;-0.3154728233
3.3000000000;-0.3007998238
3.4000000000;-0.2854309366
3.5000000000;-0.2694389106
3.6000000000;-0.2528885449
3.7000000000;-0.2358377066
3.8000000000;-0.2183381967
3.9000000000;-0.2004364916
4.0000000000;-0.1821743784
4.1000000000;-0.1635895035
4.2000000000;-0.1447158458
4.3000000000;-0.1255841288
4.4000000000;-0.1062221775
4.5000000000;-0.0866552319
4.6000000000;-0.0669062195
4.7000000000;-0.0469959966
4.8000000000;-0.0269435590
4.9000000000;-0.0067662294
5.0000000000;0.0135201781
